location_id,admin1,months_seen,months_expected,avg_conflict,has_market,gap
SO_GABILEY,Woqooyi Galbeed,8,7.481479607103088,0.16666666666666666,0,0.518520392896912
SO_BUUHOODLE,Togdheer,9,8.355037726072403,2.5,0,0.6449622739275966
SO_LUUQ,Gedo,11,10.29028065436595,2.5833333333333335,1,0.7097193456340491
SO_BURCO,Togdheer,11,10.100725582951961,1.1666666666666667,1,0.8992744170480389
SO_WANLA_WEYN,Shabeellaha Hoose,6,5.005026521874513,2.8333333333333335,0,0.9949734781254866
SO_KISMAAYO,Jubbada Hoose,12,10.996910189054827,10.916666666666666,1,1.0030898109451734
SO_EYL,Nugaal,10,8.958333911846687,0.25,1,1.0416660881533133
SO_AFMADOW,Jubbada Hoose,12,10.571280101099157,6.416666666666667,1,1.4287198989008427
SO_BAYDHABA,Bay,12,10.570277147915386,20.25,1,1.4297228520846144
SO_BORAMA,Awdal,8,6.502263934438236,1.3333333333333333,1,1.4977360655617638
SO_BAKI,Awdal,4,2.445757479234364,0.0,0,1.5542425207656358
SO_TIYEEGLOW,Bakool,4,2.4343867585300334,0.16666666666666666,0,1.5656132414699666
SO_LAAS_CAANOOD,Sool,10,8.269720540376728,1.3333333333333333,1,1.7302794596232722
SO_WAJID,Bakool,7,5.071758207952047,4.666666666666667,0,1.9282417920479533
SO_DOOLOW,Gedo,12,10.068386294735612,1.0833333333333333,1,1.9316137052643878
SO_GAROOWE,Nugaal,12,10.05721201283069,2.5,1,1.9427879871693108
SO_BELET_WEYNE,Hiiraan,12,9.73272800313459,8.416666666666666,1,2.2672719968654107
SO_GAALKACYO,Mudug,12,9.714226162249785,3.5,1,2.285773837750215
SO_QARDHO,Bari,9,6.60993430179135,0.25,1,2.39006569820865
SO_MARKA,Shabeellaha Hoose,11,8.49170337088368,20.166666666666668,0,2.5082966291163196
SO_JILIB,Jubbada Dhexe,7,4.415906468603348,1.9166666666666667,0,2.584093531396652
SO_DHUUSAMAREEB,Galguduud,9,6.279962265546692,2.5833333333333335,0,2.7200377344533084
SO_JAMAAME,Jubbada Hoose,12,9.228815161361316,8.5,0,2.7711848386386837
SO_CABUDWAAQ,Galguduud,12,9.204763278869576,3.25,1,2.795236721130424
SO_AFGOOYE,Shabeellaha Hoose,12,9.04463531436148,28.416666666666668,0,2.9553646856385196
SO_JOWHAR,Shabeellaha Dhexe,12,9.001003583306876,5.75,1,2.9989964166931244
SO_BADHAN,Sanaag,10,6.967751722304505,0.16666666666666666,0,3.032248277695495
SO_XUDUR,Bakool,12,8.951697296222676,8.25,1,3.048302703777324
SO_BOSSASO,Bari,12,8.890069874417003,4.666666666666667,1,3.1099301255829968
SO_JALALAQSI,Hiiraan,11,7.794058193841731,2.0,1,3.205941806158269
SO_GOLDOGOB,Mudug,9,5.527955044782123,1.0833333333333333,0,3.4720449552178767
SO_BAAR_DHEERE,Gedo,12,8.026010726643221,2.3333333333333335,0,3.9739892733567785
